trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,market_regime,had_liquidity_sweep,entry_rr,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date
bb021580-1c3f-4a28-b63f-29aa4db21179,2025-11-14 15:29:00+00:00,2025-11-17 19:02:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,669.79,666.4410499999999,666.4410499999999,679.8368500000001,75.0,4533.0,0.02,-313.5712500000044,1000.0,-0.3135712500000044,2,-0.3135712500000044,-1.7094391975001182,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
59be44f8-257a-4026-9b63-3402e329484e,2025-11-14 15:34:00+00:00,2025-11-17 19:02:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,669.77,666.42115,666.42115,679.8165499999999,75.0,4528.0,0.02,-313.56374999999775,1000.0,-0.31356374999999775,2,-0.31356374999999775,-2.023002947500116,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
725032e7-9b6e-4dce-876b-f9f809739ac3,2025-11-14 15:19:00+00:00,2025-11-17 19:34:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,668.39,665.04805,665.04805,678.41585,76.0,4575.0,0.02,-317.0581999999998,1000.0,-0.3170581999999998,2,-0.3170581999999998,-2.340061147500116,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
502179fb-b6f3-471f-9f75-28472ce7dce9,2025-11-14 15:24:00+00:00,2025-11-17 19:38:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,668.21,664.86895,664.86895,678.23315,76.0,4574.0,0.02,-316.97979999999967,1000.0,-0.31697979999999965,2,-0.31697979999999965,-2.6570409475001155,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
3ff6e373-4cba-40ce-92c7-17333b07f0f6,2025-11-14 16:34:00+00:00,2025-11-17 19:47:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,673.8,663.6930000000002,677.1689999999999,663.6930000000002,74.0,4513.0,0.02,686.267999999981,1000.0,0.686267999999981,2,0.686267999999981,-1.9707729475001345,win,TP1,ny,none,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
9cc3cefc-1b92-4f4a-abc4-b6ae1d27a8bc,2025-11-17 14:54:00+00:00,2025-11-17 19:56:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,673.5,663.3975000000002,676.8675,663.3975000000002,73.0,302.0,0.02,676.672499999989,1000.0,0.676672499999989,2,0.676672499999989,-1.2941004475001456,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
26d64d1d-9a94-4bf8-8e6d-c2706e7a4821,2025-11-17 14:49:00+00:00,2025-11-17 20:00:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,672.78,662.6883000000001,676.1438999999999,662.6883000000001,73.0,311.0,0.02,675.9340999999878,1000.0,0.6759340999999878,2,0.6759340999999878,-0.6181663475001579,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
fcd8aa1b-cd64-4be0-b8a7-e34a69beb437,2025-11-17 14:59:00+00:00,2025-11-17 20:00:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,672.76,662.6686000000001,676.1238,662.6686000000001,73.0,301.0,0.02,675.9121999999933,1000.0,0.6759121999999933,2,0.6759121999999933,0.05774585249983544,win,TP1,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
006f6c41-bff8-46b1-b5de-4c30fd50a9ca,2025-11-17 14:39:00+00:00,2025-11-17 20:01:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,672.62,662.5307000000003,675.9830999999999,662.5307000000003,73.0,322.0,0.02,675.778899999982,1000.0,0.675778899999982,2,0.675778899999982,0.7335247524998174,win,TP1,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,
9e064899-a43c-442f-8512-d7898a552cac,2025-11-17 17:14:00+00:00,2025-11-18 14:30:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,672.42,662.3337000000001,675.7820999999999,662.3337000000001,73.0,1276.0,0.02,675.5698999999871,1000.0,0.6755698999999871,2,0.6755698999999871,1.4090946524998045,win,TP1,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
1652d59f-f237-4c34-84b8-27a33b142a39,2025-11-17 14:44:00+00:00,2025-11-18 14:31:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.985,661.9052250000001,675.344925,661.9052250000001,73.0,1427.0,0.02,675.1335749999946,1000.0,0.6751335749999946,2,0.6751335749999946,2.084228227499799,win,TP1,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,NONE,15.0,2025-11-17
6af1eacc-039b-42b8-ab6c-b57fd997c99e,2025-11-17 15:04:00+00:00,2025-11-18 14:31:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.56,661.4866000000003,674.9177999999998,661.4866000000003,73.0,1407.0,0.02,674.7181999999746,1000.0,0.6747181999999745,2,0.6747181999999745,2.7589464274997733,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
9fa038db-3f64-43b5-a5e1-5f13e443fda6,2025-11-17 15:14:00+00:00,2025-11-18 14:31:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.74,661.6639000000004,675.0986999999999,661.6639000000004,73.0,1397.0,0.02,674.8952999999749,1000.0,0.6748952999999749,2,0.6748952999999749,3.433841727499748,win,TP1,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
ff2d6e9c-cde8-440b-a6fc-c47518f52ae0,2025-11-17 17:19:00+00:00,2025-11-18 14:31:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,672.12,662.0382000000001,675.4806,662.0382000000001,73.0,1272.0,0.02,675.2813999999948,1000.0,0.6752813999999948,2,0.6752813999999948,4.109123127499743,win,TP1,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
630d16e2-6bfe-4d5e-9d64-a76db9c0e967,2025-11-17 14:34:00+00:00,2025-11-18 14:49:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.14,661.0729000000001,674.4956999999999,661.0729000000001,73.0,1455.0,0.02,674.2782999999904,1000.0,0.6742782999999904,2,0.6742782999999904,4.783401427499733,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,
8a65dbf7-5fc0-4046-814c-562d31d0ab77,2025-11-17 15:09:00+00:00,2025-11-18 14:50:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,670.875,660.8118750000003,674.2293749999999,660.8118750000003,73.0,1421.0,0.02,674.0181249999761,1000.0,0.674018124999976,2,0.674018124999976,5.457419552499709,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
555c1d97-621b-4b4d-93cc-ede018375e1d,2025-11-17 15:19:00+00:00,2025-11-18 14:51:00+00:00,2025-11-17,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,670.7626,660.7011610000002,674.116413,660.7011610000002,73.0,1412.0,0.02,673.905046999988,1000.0,0.673905046999988,2,0.673905046999988,6.131324599499697,win,TP1,ny,ny_open,chop,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17
